date,naive_choice_index,trained_choice_index,P0_learning_index,F1_naive_choice_index,F1_trained_choice_index,F1_learning_index,F1_PLI,F2_naive_choice_index,F2_trained_choice_index,F2_learning_index,F2_PLI
10-Apr,0.270833333,-0.466666667,0.7375,,,,,,,,
12-Apr,0.183673469,-0.373493976,0.557167445,-0.087378641,-0.06870229,-0.018676351,-0.575843796,,,,
15-Apr,0.306666667,0.194968554,0.111698113,,,,,,,,
16-Apr,0.423312883,-0.523809524,0.947122407,0.00990099,-0.422222222,0.432123212,-0.514999195,,,,
19-Apr,0.76,0.604938272,0.155061728,,,,,,,,
20-Apr,0.549668874,-0.098591549,0.648260424,0.446808511,0.714285714,-0.267477204,-0.915737627,,,,
21-Apr,0.136842105,-0.365853659,0.502695764,0.5,0.212121212,0.287878788,-0.214816976,-0.007751938,-0.007751938,0.266973337,-0.235722427
22-Apr,0.727659575,0.184210526,0.543449048,-0.127272727,-0.011673152,-0.115599576,-0.659048624,-0.005464481,-0.183098592,0.177634111,-0.365814938
23-Apr,0.606741573,-0.925373134,1.532114707,-0.154285714,0.021276596,-0.17556231,-1.707677017,1,-0.106719368,1.106719368,-0.42539534
24-Apr,0.380116959,0.021834061,0.358282898,-0.076923077,-0.170731707,0.09380863,-0.264474268,-0.3,-0.216666667,-0.083333333,-0.441616231
25-Apr,0.376470588,-0.341463415,0.717934003,0.052631579,-0.270718232,0.323349811,-0.394584192,,,,
